INFO:    Environment variable SINGULARITY_DISABLE_CACHE is set, but APPTAINER_DISABLE_CACHE is preferred
Resolved 133 packages in 64ms
Audited 126 packages in 666ms
run_start config=config/simulation_abx.yml days=1000 hospitals=6 susceptible=300 seed_carriers=40 micro_steps_per_day=12 micro_workers=300 seed=42
day=289 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7546
day=290 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7588
day=291 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7605
day=292 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7615
day=293 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7649
day=294 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7661
day=295 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7702
day=296 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7741
day=297 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7770
day=298 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7794
day=299 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7809
day=300 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7844
day=301 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7862
day=302 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7891
day=303 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7893
day=304 susceptible=0003 carriers=0297 avg_resistant_fraction=0.7960
day=305 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7999
day=306 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8033
day=307 susceptible=0000 carriers=0300 avg_resistant_fraction=0.8030
day=308 susceptible=0000 carriers=0300 avg_resistant_fraction=0.8022
day=309 susceptible=0000 carriers=0300 avg_resistant_fraction=0.8053
day=310 susceptible=0000 carriers=0300 avg_resistant_fraction=0.8082
day=311 susceptible=0000 carriers=0300 avg_resistant_fraction=0.8116
day=312 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8124
day=313 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8155
day=314 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8184
day=315 susceptible=0003 carriers=0297 avg_resistant_fraction=0.8214
day=316 susceptible=0003 carriers=0297 avg_resistant_fraction=0.8239
day=317 susceptible=0005 carriers=0295 avg_resistant_fraction=0.8268
day=318 susceptible=0004 carriers=0296 avg_resistant_fraction=0.8286
day=319 susceptible=0004 carriers=0296 avg_resistant_fraction=0.8300
day=320 susceptible=0005 carriers=0295 avg_resistant_fraction=0.8360
day=321 susceptible=0003 carriers=0297 avg_resistant_fraction=0.8384
day=322 susceptible=0003 carriers=0297 avg_resistant_fraction=0.8359
day=323 susceptible=0003 carriers=0297 avg_resistant_fraction=0.8383
day=324 susceptible=0004 carriers=0296 avg_resistant_fraction=0.8433
day=325 susceptible=0003 carriers=0297 avg_resistant_fraction=0.8487
day=326 susceptible=0003 carriers=0297 avg_resistant_fraction=0.8494
day=327 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8517
day=328 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8517
day=329 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8523
day=330 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8538
day=331 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8505
day=332 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8521
day=333 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8518
day=334 susceptible=0000 carriers=0300 avg_resistant_fraction=0.8498
day=335 susceptible=0000 carriers=0300 avg_resistant_fraction=0.8497
day=336 susceptible=0000 carriers=0300 avg_resistant_fraction=0.8505
day=337 susceptible=0000 carriers=0300 avg_resistant_fraction=0.8530
day=338 susceptible=0000 carriers=0300 avg_resistant_fraction=0.8555
day=339 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8552
day=340 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8577
day=341 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8594
day=342 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8630
day=343 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8625
day=344 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8623
day=345 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8639
day=346 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8694
day=347 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8744
day=348 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8740
day=349 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8747
day=350 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8755
day=351 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8758
day=352 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8777
day=353 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8780
day=354 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8760
day=355 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8764
day=356 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8766
day=357 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8781
day=358 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8796
day=359 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8816
day=360 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8825
day=361 susceptible=0003 carriers=0297 avg_resistant_fraction=0.8859
day=362 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8874
day=363 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8849
day=364 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8869
day=365 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8887
day=366 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8903
day=367 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8893
day=368 susceptible=0001 carriers=0299 avg_resistant_fraction=0.8907
day=369 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8917
day=370 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8930
day=371 susceptible=0002 carriers=0298 avg_resistant_fraction=0.8965
