INFO:    Environment variable SINGULARITY_DISABLE_CACHE is set, but APPTAINER_DISABLE_CACHE is preferred
Resolved 132 packages in 36ms
Audited 124 packages in 383ms
run_start config=/workspace/shared/config_realistic.yml days=365 hospitals=15 susceptible=9800 seed_carriers=200 micro_steps_per_day=12 micro_workers=300 seed=42
day=330 susceptible=0446 carriers=0299 avg_resistant_fraction=0.0000
day=331 susceptible=0465 carriers=0291 avg_resistant_fraction=0.0005
day=332 susceptible=0466 carriers=0287 avg_resistant_fraction=0.0007
day=333 susceptible=0471 carriers=0290 avg_resistant_fraction=0.0005
day=334 susceptible=0469 carriers=0292 avg_resistant_fraction=0.0004
day=335 susceptible=0474 carriers=0296 avg_resistant_fraction=0.0007
day=336 susceptible=0480 carriers=0298 avg_resistant_fraction=0.0002
day=337 susceptible=0503 carriers=0297 avg_resistant_fraction=0.0008
day=338 susceptible=0492 carriers=0302 avg_resistant_fraction=0.0007
day=339 susceptible=0491 carriers=0300 avg_resistant_fraction=0.0006
day=340 susceptible=0475 carriers=0296 avg_resistant_fraction=0.0010
day=341 susceptible=0465 carriers=0308 avg_resistant_fraction=0.0003
day=342 susceptible=0452 carriers=0315 avg_resistant_fraction=0.0004
day=343 susceptible=0447 carriers=0311 avg_resistant_fraction=0.0004
day=344 susceptible=0445 carriers=0315 avg_resistant_fraction=0.0002
day=345 susceptible=0435 carriers=0326 avg_resistant_fraction=0.0000
day=346 susceptible=0456 carriers=0322 avg_resistant_fraction=0.0009
day=347 susceptible=0443 carriers=0321 avg_resistant_fraction=0.0002
day=348 susceptible=0442 carriers=0322 avg_resistant_fraction=0.0004
day=349 susceptible=0449 carriers=0320 avg_resistant_fraction=0.0007
day=350 susceptible=0439 carriers=0322 avg_resistant_fraction=0.0011
day=351 susceptible=0434 carriers=0330 avg_resistant_fraction=0.0007
day=352 susceptible=0455 carriers=0329 avg_resistant_fraction=0.0020
day=353 susceptible=0470 carriers=0322 avg_resistant_fraction=0.0002
day=354 susceptible=0473 carriers=0327 avg_resistant_fraction=0.0009
day=355 susceptible=0477 carriers=0318 avg_resistant_fraction=0.0012
day=356 susceptible=0486 carriers=0323 avg_resistant_fraction=0.0002
day=357 susceptible=0485 carriers=0318 avg_resistant_fraction=0.0018
day=358 susceptible=0482 carriers=0322 avg_resistant_fraction=0.0010
day=359 susceptible=0486 carriers=0315 avg_resistant_fraction=0.0003
day=360 susceptible=0485 carriers=0310 avg_resistant_fraction=0.0008
day=361 susceptible=0464 carriers=0316 avg_resistant_fraction=0.0011
day=362 susceptible=0462 carriers=0323 avg_resistant_fraction=0.0010
day=363 susceptible=0474 carriers=0320 avg_resistant_fraction=0.0004
day=364 susceptible=0475 carriers=0323 avg_resistant_fraction=0.0006
day=365 susceptible=0471 carriers=0335 avg_resistant_fraction=0.0009
run_end day=365 susceptible=471 carriers=335 avg_resistant_fraction=0.0009 active_micro_episodes=308
macro_log_written daily=/workspace/outputs/csv/macro_daily.csv by_hospital=/workspace/outputs/csv/macro_daily_by_hospital.csv
micro_log_written daily=/workspace/outputs/csv/micro_daily.csv by_hospital=/workspace/outputs/csv/micro_daily_by_hospital.csv patient_daily=/workspace/outputs/csv/micro_patient_daily.csv genotype=/workspace/outputs/csv/micro_daily_genotype.csv
plots_written to=/workspace/outputs/plots
